"EntityName_EN","ViewName","ViewLanguage","TotalRows","ViewError","ColumnName","NonNullCount","IsAllNull","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"Assignments","Affectations","FR","1772",,"TravailNormalAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRegularWork","src.[AssignmentRegularWork]"
"Assignments","Affectations","FR","1772",,"AffectationCoûtRestant","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingCost","src.[AssignmentRemainingCost]"
"Assignments","Affectations","FR","1772",,"CoûtHeuresSupplémentairesRestantes","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingOvertimeCost","src.[AssignmentRemainingOvertimeCost]"
"Assignments","Affectations","FR","1772",,"HeuresSupplémentairesRestantesAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingOvertimeWork","src.[AssignmentRemainingOvertimeWork]"
"Assignments","Affectations","FR","1772",,"CoûtNormalRestantAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingRegularCost","src.[AssignmentRemainingRegularCost]"
"Assignments","Affectations","FR","1772",,"TravailNormalRestantAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingRegularWork","src.[AssignmentRemainingRegularWork]"
"Assignments","Affectations","FR","1772",,"AffectationTravailRestant","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingWork","src.[AssignmentRemainingWork]"
"Assignments","Affectations","FR","1772",,"AffectationRessourcePlanTravail","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentResourcePlanWork","src.[AssignmentResourcePlanWork]"
"Assignments","Affectations","FR","1772",,"AffectationTypeRessource","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentResourceType","src.[AssignmentResourceType]"
"Assignments","Affectations","FR","1772",,"AffectationDateDébut","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentStartDate","src.[AssignmentStartDate]"
"Assignments","Affectations","FR","1772",,"VarianceDébutAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentStartVariance","src.[AssignmentStartVariance]"
