"ViewName","ViewLanguage","ColumnName","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"CostConstraintScenarios","EN","UnselectedProjectsPriority","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","UnselectedProjectsPriority","src.[UnselectedProjectsPriority]"
"CostConstraintScenarios","EN","UseDependencies","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","UseDependencies","src.[UseDependencies]"
"CostScenarioProjects","EN","AbsolutePriority","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","AbsolutePriority","src.[AbsolutePriority]"
"CostScenarioProjects","EN","AnalysisId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","AnalysisUID","src.[AnalysisUID]"
"CostScenarioProjects","EN","AnalysisName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","AnalysisName","src.[AnalysisName]"
"CostScenarioProjects","EN","ForceAliasLookupTableId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","ForceAliasLookupTableUID","src.[ForceAliasLookupTableUID]"
"CostScenarioProjects","EN","ForceAliasLookupTableName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","ForceAliasLookupTableName","src.[ForceAliasLookupTableName]"
"CostScenarioProjects","EN","ForceStatus","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","ForceStatus","src.[ForceStatus]"
"CostScenarioProjects","EN","HardConstraintValue","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","HardConstraintValue","src.[HardConstraintValue]"
"CostScenarioProjects","EN","Priority","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","Priority","src.[Priority]"
"CostScenarioProjects","EN","ProjectId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","ProjectUID","src.[ProjectUID]"
"CostScenarioProjects","EN","ProjectName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","ProjectName","src.[ProjectName]"
"CostScenarioProjects","EN","ScenarioId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","ScenarioUID","src.[ScenarioUID]"
"CostScenarioProjects","EN","ScenarioName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","ScenarioName","src.[ScenarioName]"
"CostScenarioProjects","EN","Status","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintProject_UserView","Status","src.[Status]"
"DéfinitionsDePriorités","FR","DateCréationDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","CreatedDate","src.[CreatedDate]"
"DéfinitionsDePriorités","FR","DateModificationDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","ModifiedDate","src.[ModifiedDate]"
"DéfinitionsDePriorités","FR","DéfinitionPrioritésEstManuelle","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","PrioritizationIsManual","src.[PrioritizationIsManual]"
"DéfinitionsDePriorités","FR","DescriptionDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","PrioritizationDescription","src.[PrioritizationDescription]"
"DéfinitionsDePriorités","FR","IdDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","PrioritizationUID","src.[PrioritizationUID]"
"DéfinitionsDePriorités","FR","IdRessourceCréation","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","CreatedByResourceUID","src.[CreatedByResourceUID]"
"DéfinitionsDePriorités","FR","IdRessourceModification","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","ModifiedByResourceUID","src.[ModifiedByResourceUID]"
"DéfinitionsDePriorités","FR","IdService","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","DepartmentUID","src.[DepartmentUID]"
"DéfinitionsDePriorités","FR","NomDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","PrioritizationName","src.[PrioritizationName]"
"DéfinitionsDePriorités","FR","NomRessourceCréation","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","CreatedByResourceName","src.[CreatedByResourceName]"
"DéfinitionsDePriorités","FR","NomRessourceModification","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","ModifiedByResourceName","src.[ModifiedByResourceName]"
